1,5.38,0.39,6.17
5,5.32,0.42,6.02
5,5.27,0.40,5.88
7,5.13,0.44,5.97
15,5.07,0.53,5.99
16,5.00,0.55,6.08
16,4.92,0.61,6.31
17,4.89,0.57,6.54
20,4.82,0.47,6.77
22,4.77,0.36,7.03
27,4.75,0.25,7.23
27,4.72,0.16,7.38
30,4.64,0.08,7.44
33,4.56,0.06,7.64
35,4.57,0.07,7.76
37,4.56,0.02,8.00
40,4.57,-0.00,8.28
50,4.61,-0.04,8.49
50,4.68,-0.05,8.65
51,4.66,-0.07,8.74
51,4.70,-0.10,8.79
53,4.78,-0.08,8.83
55,4.75,-0.07,8.93
67,4.74,-0.05,8.95
68,4.74,0.00,8.96
68,4.78,-0.04,8.90
69,4.84,-0.06,8.73
69,4.82,-0.07,8.71
71,4.86,-0.08,8.61
73,4.90,-0.07,8.50
85,4.89,-0.03,8.40
86,4.90,0.01,8.23
86,4.88,0.02,8.11
87,4.90,0.10,7.93
87,4.89,0.11,7.82
88,4.81,0.15,7.68
90,4.81,0.18,7.50
99,4.84,0.19,7.36
100,4.85,0.23,7.13
100,4.80,0.23,6.98
101,4.84,0.25,6.82
103,4.89,0.28,6.71
105,4.85,0.26,6.56
116,4.81,0.27,6.40
116,4.80,0.24,6.31
117,4.80,0.18,6.20
117,4.76,0.17,6.13
118,4.72,0.18,6.02
120,4.67,0.12,5.91
122,4.68,0.14,5.79
127,4.65,0.11,5.64
128,4.59,0.10,5.51
130,4.56,0.05,5.47
132,4.54,0.10,5.34
135,4.48,0.14,5.24
138,4.48,0.16,5.10
151,4.38,0.19,5.06
151,4.33,0.17,4.90
152,4.33,0.17,4.85
152,4.27,0.17,4.79
153,4.22,0.16,4.75
153,4.16,0.12,4.69
155,4.14,0.04,4.69
167,4.07,0.01,4.70
167,4.01,-0.05,4.72
168,3.93,-0.12,4.69
168,3.89,-0.16,4.68
169,3.87,-0.22,4.72
171,3.82,-0.26,4.72
174,3.75,-0.27,4.72
183,3.71,-0.34,4.67
184,3.61,-0.41,4.70
185,3.56,-0.43,4.70
185,3.57,-0.48,4.65
186,3.55,-0.55,4.65
189,3.53,-0.63,4.69
191,3.47,-0.69,4.65
196,3.46,-0.79,4.60
196,3.48,-0.85,4.68
199,3.50,-0.89,4.58
201,3.44,-0.90,4.57
203,3.50,-0.96,4.54
205,3.55,-0.95,4.54
208,3.53,-0.95,4.58
