2,4.44,-0.52,7.01
5,4.50,-0.50,6.84
7,4.56,-0.48,6.57
9,4.54,-0.50,6.18
15,4.47,-0.54,5.88
15,4.40,-0.61,5.54
18,4.38,-0.75,5.25
19,4.37,-0.78,5.11
22,4.36,-0.81,4.96
24,4.29,-0.94,4.76
28,4.32,-0.91,4.57
30,4.27,-1.02,4.30
32,4.20,-1.08,4.07
35,4.15,-1.11,3.96
38,4.10,-1.14,3.67
40,4.03,-1.27,3.59
43,4.05,-1.27,3.74
45,4.00,-1.26,3.42
48,3.95,-1.28,3.26
51,3.88,-1.27,2.89
53,3.86,-1.21,2.63
56,3.82,-1.14,2.37
58,3.77,-1.10,2.09
60,3.75,-1.14,1.85
65,3.69,-1.17,1.52
65,3.63,-1.19,1.27
68,3.55,-1.16,0.96
71,3.52,-1.17,0.64
73,3.46,-1.14,0.42
76,3.35,-1.13,0.23
78,3.32,-1.18,0.00
81,3.29,-1.18,-0.22
82,3.26,-1.24,-0.42
85,3.19,-1.25,-0.52
88,3.15,-1.28,-0.66
91,3.11,-1.32,-0.75
93,3.10,-1.41,-0.89
95,3.07,-1.47,-1.00
99,3.05,-1.51,-1.14
100,3.03,-1.57,-1.17
103,2.95,-1.64,-1.23
106,2.93,-1.71,-1.27
109,2.88,-1.73,-1.25
110,2.89,-1.78,-1.18
115,2.91,-1.81,-1.12
115,2.85,-1.75,-0.92
118,2.84,-1.92,-0.80
121,2.84,-2.04,-0.65
123,2.82,-2.10,-0.50
126,2.84,-2.17,-0.30
128,2.96,-2.27,-0.15
132,3.00,-2.36,0.06
133,3.08,-2.38,0.32
136,3.23,-2.39,0.55
138,3.32,-2.43,0.79
141,3.46,-2.54,1.01
144,3.54,-2.64,1.22
146,3.69,-2.75,1.47
153,3.88,-2.78,1.71
153,4.05,-2.77,1.94
153,4.16,-2.76,2.30
156,4.25,-2.81,2.66
159,4.38,-2.75,2.94
161,4.47,-2.72,3.46
165,4.47,-2.63,4.08
165,4.43,-2.62,4.65
168,4.39,-2.62,5.23
172,4.25,-2.67,5.94
174,4.10,-2.72,6.67
176,4.00,-2.61,7.35
178,3.86,-2.33,8.06
181,3.81,-2.22,8.65
183,3.70,-2.47,9.10
186,3.46,-2.94,9.96
189,3.19,-3.55,10.84
191,2.92,-4.16,11.72
193,2.65,-4.76,12.46
198,2.25,-5.29,13.25
199,1.97,-5.67,14.08
200,1.72,-5.99,14.81
204,1.39,-6.25,15.68
205,1.04,-6.44,16.51
208,0.61,-6.61,17.34
210,0.31,-6.68,18.21
